Status;Carta-Consulta;Modalidade;UF;Município;Agente Financeiro;Proponente;Empreendimento;Valor de Contrapartida (R$);Valor de Empréstimo (R$);Valor de Investimento (R$)
Enquadrada pelo Gestor da Aplicação;3924.4.0702/2019;Estudos e Projetos;PR;Cascavel;Caixa Econômica Federal;Prefeitura Municipal de Cascavel;Estudos e Projetos do Prefeitura Municipal de Cascavel;R$ 75.000,00;R$ 1.425.000,00;R$ 1.500.000,00
Enquadrada pelo Gestor da Aplicação;4052.23.1007/2019;Qualificação Viária;SP;Limeira;Caixa Econômica Federal;Prefeitura Municipal de Limeira;Qualificação Viária do Prefeitura Municipal de Limeira;R$ 2.233.325,32;R$ 42.433.181,00;R$ 44.666.506,32
Enquadrada pelo Gestor da Aplicação;3851.4.2111/2018;Estudos e Projetos;SP;Mogi das Cruzes;Caixa Econômica Federal;Prefeitura Municipal de Mogi das Cruzes;Estudos e Projetos do Prefeitura Municipal de Mogi das Cruzes;R$ 25.000,00;R$ 475.000,00;R$ 500.000,00
Selecionada pelo gestor da aplicação;3960.23.0104/2019;Qualificação Viária;PA;Belém;Caixa Econômica Federal;Prefeitura Municipal de Belém;Qualificação Viária do Prefeitura Municipal de Belém;R$ 7.367.519,74;R$ 139.982.875,03;R$ 147.350.394,77
Enquadrada pelo Gestor da Aplicação;4056.3.1007/2019;Transporte Não Motorizado;SP;Limeira;Caixa Econômica Federal;Prefeitura Municipal de Limeira;Transporte Não Motorizado do Prefeitura Municipal de Limeira;R$ 266.405,11;R$ 5.061.696,97;R$ 5.328.102,08
Selecionada pelo gestor da aplicação;1470.5.0201/2018;Plano de Mobilidade Urbana;PE;Jaboatão dos Guararapes;Caixa Econômica Federal;Prefeitura Municipal de Jaboatão dos Guararapes;Plano de Mobilidade Urbana do Prefeitura Municipal de Jaboatão dos Guararapes;R$ 85.127,07;R$ 1.617.414,32;R$ 1.702.541,39
Selecionada pelo gestor da aplicação;3573.2.1802/2019;Qualificação Viária;PR;Curitiba;Caixa Econômica Federal;Prefeitura Municipal de Curitiba;Qualificação Viária do Prefeitura Municipal de Curitiba;R$ 450.000,00;R$ 8.550.000,00;R$ 9.000.000,00
Enquadrada pelo Gestor da Aplicação;4121.2.1812/2019;Qualificação Viária;MG;Belo Horizonte;Caixa Econômica Federal;Prefeitura Municipal de Belo Horizonte;Qualificação Viária do Prefeitura Municipal de Belo Horizonte;R$ 4.211.250,00;R$ 80.013.750,00;R$ 84.225.000,00
Pré-selecionada pelo Gestor da Aplicação;4079.5.0209/2019;Plano de Mobilidade Urbana;BA;Vitória da Conquista;Caixa Econômica Federal;Prefeitura Municipal de Vitória da Conquista;Plano de Mobilidade Urbana do Prefeitura Municipal de Vitória da Conquista;R$ 252.797,45;R$ 4.803.151,38;R$ 5.055.948,83
Selecionada pelo gestor da aplicação;1053.234.1311/2017;Qualificação Viária;MG;Contagem;Caixa Econômica Federal;Prefeitura Municipal de Contagem;Qualificação Viária do Prefeitura Municipal de Contagem;R$ 48.216.316,19;R$ 100.000.000,00;R$ 148.216.316,19
Devolvida ao Proponente;4010.2.1405/2019;Qualificação Viária;RJ;Volta Redonda;Caixa Econômica Federal;Prefeitura Municipal de Volta Redonda;Qualificação Viária do Prefeitura Municipal de Volta Redonda;R$ 2.500.000,00;R$ 47.500.000,00;R$ 50.000.000,00
Enquadrada pelo Gestor da Aplicação;3520.4.1906/2018;Estudos e Projetos;PR;Curitiba;Caixa Econômica Federal;Prefeitura Municipal de Curitiba;Estudos e Projetos do Prefeitura Municipal de Curitiba;R$ 116.250,00;R$ 2.208.750,00;R$ 2.325.000,00
Selecionada pelo gestor da aplicação;1627.2.2702/2018;Qualificação Viária;PE;Petrolina;Caixa Econômica Federal;Prefeitura Municipal de Petrolina;Qualificação Viária do Prefeitura Municipal de Petrolina;R$ 880.821,82;R$ 16.735.614,57;R$ 17.616.436,39
Enquadrada pelo Gestor da Aplicação;3211.245.1004/2018;Qualificação Viária;PR;São José dos Pinhais;Caixa Econômica Federal;Prefeitura Municipal de São José dos Pinhais;Qualificação Viária do Prefeitura Municipal de São José dos Pinhais;R$ 1.735.657,46;R$ 32.977.491,71;R$ 34.713.149,17
Enquadrada pelo Gestor da Aplicação;3319.4.0405/2018;Estudos e Projetos;BA;Salvador;Caixa Econômica Federal;Prefeitura Municipal de Salvador;Estudos e Projetos do Prefeitura Municipal de Salvador;R$ 255.000,00;R$ 4.845.000,00;R$ 5.100.000,00
Enquadrada pelo Gestor da Aplicação;1590.2.2501/2018;Qualificação Viária;PA;Belém;Caixa Econômica Federal;Prefeitura Municipal de Belém;Qualificação Viária do Prefeitura Municipal de Belém;R$ 2.042.219,22;R$ 38.802.165,10;R$ 40.844.384,32
Selecionada pelo gestor da aplicação;4007.2.1405/2019;Qualificação Viária;MS;Campo Grande;Caixa Econômica Federal;Prefeitura Municipal de Campo Grande;Qualificação Viária do Prefeitura Municipal de Campo Grande;R$ 3.925.399,25;R$ 74.582.585,64;R$ 78.507.984,89
Enquadrada pelo Gestor da Aplicação;1533.5.1101/2018;Plano de Mobilidade Urbana;MG;Uberaba;Caixa Econômica Federal;Prefeitura Municipal de Uberaba;Plano de Mobilidade Urbana do Prefeitura Municipal de Uberaba;R$ 148.344,50;R$ 2.818.545,50;R$ 2.966.890,00
Enquadrada pelo Gestor da Aplicação;4110.3.1411/2019;Transporte Não Motorizado;MA;São Luís;Caixa Econômica Federal;Prefeitura Municipal de São Luís;Transporte Não Motorizado do Prefeitura Municipal de São Luís;R$ 750.599,96;R$ 14.261.399,12;R$ 15.011.999,08
Selecionada pelo gestor da aplicação;2992.5.0805/2018;Plano de Mobilidade Urbana;RS;Porto Alegre;Caixa Econômica Federal;Prefeitura Municipal de Porto Alegre;Plano de Mobilidade Urbana do Prefeitura Municipal de Porto Alegre;R$ 200.000,00;R$ 3.800.000,00;R$ 4.000.000,00
Enquadrada pelo Gestor da Aplicação;4108.5.0511/2019;Plano de Mobilidade Urbana;MT;Cuiabá;Caixa Econômica Federal;Prefeitura Municipal de Cuiabá;Plano de Mobilidade Urbana do Prefeitura Municipal de Cuiabá;R$ 154.776,47;R$ 2.940.752,80;R$ 3.095.529,27
Selecionada pelo gestor da aplicação;1611.3.3001/2018;Transporte Não Motorizado;RS;Porto Alegre;Caixa Econômica Federal;Prefeitura Municipal de Porto Alegre;Transporte Não Motorizado do Prefeitura Municipal de Porto Alegre;R$ 297.750,89;R$ 5.657.266,84;R$ 5.955.017,73
Selecionada pelo gestor da aplicação;1464.4.2912/2017;Estudos e Projetos;RS;Santa Maria;Caixa Econômica Federal;Prefeitura Municipal de Santa Maria;Estudos e Projetos do Prefeitura Municipal de Santa Maria;R$ 62.500,00;R$ 1.187.500,00;R$ 1.250.000,00
Enquadrada pelo Gestor da Aplicação;3356.5.2905/2018;Plano de Mobilidade Urbana;RJ;Petrópolis;Caixa Econômica Federal;Prefeitura Municipal de Petrópolis;Plano de Mobilidade Urbana do Prefeitura Municipal de Petrópolis;R$ 54.625,00;R$ 1.037.875,00;R$ 1.092.500,00
Enquadrada pelo Gestor da Aplicação;3312.5.0705/2018;Plano de Mobilidade Urbana;PR;São José dos Pinhais;Caixa Econômica Federal;Prefeitura Municipal de São José dos Pinhais;Plano de Mobilidade Urbana do Prefeitura Municipal de São José dos Pinhais;R$ 150.000,00;R$ 2.850.000,00;R$ 3.000.000,00
Selecionada pelo gestor da aplicação;3182.4.2205/2018;Estudos e Projetos;PR;Curitiba;Caixa Econômica Federal;Prefeitura Municipal de Curitiba;Estudos e Projetos do Prefeitura Municipal de Curitiba;R$ 64.000,00;R$ 1.216.000,00;R$ 1.280.000,00
Enquadrada pelo Gestor da Aplicação;4077.4.0111/2019;Estudos e Projetos;CE;;Caixa Econômica Federal;GOVERNO DO ESTADO DO CEARA;Estudos e Projetos do GOVERNO DO ESTADO DO CEARA;R$ 341.766,75;R$ 6.493.568,22;R$ 6.835.334,97
Selecionada pelo gestor da aplicação;3796.2.1311/2018;Qualificação Viária;SP;São Paulo;Caixa Econômica Federal;Prefeitura Municipal de São Paulo;Qualificação Viária do Prefeitura Municipal de São Paulo;R$ 10.526.000,00;R$ 199.994.000,00;R$ 210.520.000,00
